Name;Type
hsa-mir-1224;mirtron
hsa-mir-1226;mirtron
hsa-mir-1227;mirtron
hsa-mir-1228;mirtron
hsa-mir-1229;mirtron
hsa-mir-1233-1;mirtron
hsa-mir-1234;5p-tailed mirtron
hsa-mir-1236;mirtron
hsa-mir-1237;5p-tailed mirtron
hsa-mir-1292;5p-tailed mirtron
hsa-mir-1909;3p-tailed mirtron
hsa-mir-1976;5p-tailed mirtron
hsa-mir-3064;5p-tailed mirtron
hsa-mir-3605;5p-tailed mirtron
hsa-mir-3606;5p-tailed mirtron
hsa-mir-3620;5p-tailed mirtron
hsa-mir-3940;3p-tailed mirtron
hsa-mir-4632;5p-tailed mirtron
hsa-mir-4639;5p-tailed mirtron
hsa-mir-4640;5p-tailed mirtron
hsa-mir-4646;5p-tailed mirtron
hsa-mir-4649;5p-tailed mirtron
hsa-mir-4667;5p-tailed mirtron
hsa-mir-4673;5p-tailed mirtron
hsa-mir-4685;5p-tailed mirtron
hsa-mir-4688;5p-tailed mirtron
hsa-mir-4690;3p-tailed mirtron
hsa-mir-4701;5p-tailed mirtron
hsa-mir-4722;5p-tailed mirtron
hsa-mir-4723;5p-tailed mirtron
hsa-mir-4726;5p-tailed mirtron
hsa-mir-4728;5p-tailed mirtron
hsa-mir-4742;5p-tailed mirtron
hsa-mir-4743;5p-tailed mirtron
hsa-mir-4745;3p-tailed mirtron
hsa-mir-4747;5p-tailed mirtron
hsa-mir-4749;5p-tailed mirtron
hsa-mir-4750;5p-tailed mirtron
hsa-mir-4758;3p-tailed mirtron
hsa-mir-5004;5p-tailed mirtron
hsa-mir-5006;5p-tailed mirtron
hsa-mir-5010;5p-tailed mirtron
hsa-mir-5088;5p-tailed mirtron
hsa-mir-5187;5p-tailed mirtron
hsa-mir-5196;5p-tailed mirtron
hsa-mir-6505;5p-tailed mirtron
hsa-mir-6510;5p-tailed mirtron
hsa-mir-6511a;5p-tailed mirtron
hsa-mir-6511b-1;5p-tailed mirtron
hsa-mir-6511b-2;5p-tailed mirtron
hsa-mir-6513;5p-tailed mirtron
hsa-mir-6514;5p-tailed mirtron
hsa-mir-6515;5p-tailed mirtron
hsa-mir-6716;5p-tailed mirtron
hsa-mir-6726;5p-tailed mirtron
hsa-mir-6727;5p-tailed mirtron
hsa-mir-6728;5p-tailed mirtron
hsa-mir-6729;5p-tailed mirtron
hsa-mir-6730;5p-tailed mirtron
hsa-mir-6731;5p-tailed mirtron
hsa-mir-6732;5p-tailed mirtron
hsa-mir-6733;5p-tailed mirtron
hsa-mir-6734;5p-tailed mirtron
hsa-mir-6735;5p-tailed mirtron
hsa-mir-6736;5p-tailed mirtron
hsa-mir-6737;5p-tailed mirtron
hsa-mir-6738;5p-tailed mirtron
hsa-mir-6739;5p-tailed mirtron
hsa-mir-6740;5p-tailed mirtron
hsa-mir-6741;5p-tailed mirtron
hsa-mir-6742;5p-tailed mirtron
hsa-mir-6743;5p-tailed mirtron
hsa-mir-6744;5p-tailed mirtron
hsa-mir-6745;5p-tailed mirtron
hsa-mir-6746;5p-tailed mirtron
hsa-mir-6747;5p-tailed mirtron
hsa-mir-6748;5p-tailed mirtron
hsa-mir-6749;5p-tailed mirtron
hsa-mir-6750;5p-tailed mirtron
