"","Chromosome","Coord1","Coord2","Strand","ID","Name","arm5p","arm3p","high_conf","mirtron"
"1","chr9",94175957,94176036,"+","MI0000060","hsa-let-7a-1","hsa-let-7a-5p","hsa-let-7a-3p","1","canonical"
"2","chr11",122146522,122146593,"-","MI0000061","hsa-let-7a-2","hsa-let-7a-5p","hsa-let-7a-2-3p","1","canonical"
"3","chr22",46112749,46112822,"+","MI0000062","hsa-let-7a-3","hsa-let-7a-5p","hsa-let-7a-3p","1","canonical"
"4","chr22",46113686,46113768,"+","MI0000063","hsa-let-7b","hsa-let-7b-5p","hsa-let-7b-3p","1","canonical"
"5","chr21",16539828,16539911,"+","MI0000064","hsa-let-7c","hsa-let-7c-5p","hsa-let-7c-3p","0","canonical"
"6","chr9",94178834,94178920,"+","MI0000065","hsa-let-7d","hsa-let-7d-5p","hsa-let-7d-3p","1","canonical"
"7","chr19",51692786,51692864,"+","MI0000066","hsa-let-7e","hsa-let-7e-5p","hsa-let-7e-3p","1","canonical"
"8","chr9",94176347,94176433,"+","MI0000067","hsa-let-7f-1","hsa-let-7f-5p","hsa-let-7f-1-3p","1","canonical"
"9","chrX",53557192,53557274,"-","MI0000068","hsa-let-7f-2","hsa-let-7f-5p","hsa-let-7f-2-3p","1","canonical"
"10","chr13",50049119,50049201,"-","MI0000069","hsa-mir-15a","hsa-miR-15a-5p","hsa-miR-15a-3p","1","canonical"
"11","chr13",50048973,50049061,"-","MI0000070","hsa-mir-16-1","hsa-miR-16-5p","hsa-miR-16-1-3p","1","canonical"
"12","chr13",91350605,91350688,"+","MI0000071","hsa-mir-17","hsa-miR-17-5p","hsa-miR-17-3p","1","canonical"
"13","chr13",91350751,91350821,"+","MI0000072","hsa-mir-18a","hsa-miR-18a-5p","hsa-miR-18a-3p","1","canonical"
"14","chr13",91350891,91350972,"+","MI0000073","hsa-mir-19a","hsa-miR-19a-5p","hsa-miR-19a-3p","1","canonical"
"15","chr13",91351192,91351278,"+","MI0000074","hsa-mir-19b-1","hsa-miR-19b-1-5p","hsa-miR-19b-3p","1","canonical"
"16","chrX",134169671,134169766,"-","MI0000075","hsa-mir-19b-2","hsa-miR-19b-2-5p","hsa-miR-19b-3p","1","canonical"
"17","chr13",91351065,91351135,"+","MI0000076","hsa-mir-20a","hsa-miR-20a-5p","hsa-miR-20a-3p","1","canonical"
"18","chr17",59841266,59841337,"+","MI0000077","hsa-mir-21","hsa-miR-21-5p","hsa-miR-21-3p","0","canonical"
"19","chr17",1713903,1713987,"-","MI0000078","hsa-mir-22","hsa-miR-22-5p","hsa-miR-22-3p","1","canonical"
"20","chr19",13836587,13836659,"-","MI0000079","hsa-mir-23a","hsa-miR-23a-5p","hsa-miR-23a-3p","1","canonical"
"21","chr9",95086021,95086088,"+","MI0000080","hsa-mir-24-1","hsa-miR-24-1-5p","hsa-miR-24-3p","0","canonical"
"22","chr19",13836287,13836359,"-","MI0000081","hsa-mir-24-2","hsa-miR-24-2-5p","hsa-miR-24-3p","0","canonical"
"23","chr7",100093560,100093643,"-","MI0000082","hsa-mir-25","hsa-miR-25-5p","hsa-miR-25-3p","1","canonical"
