Chromosome;Type;Coord1;Coord2;Strand;ID;Name;Arm;Derives_from
chr9;miRNA;94175962;94175983;+;MIMAT0000062_2;hsa-let-7a-5p;5p;MI0000060
chr9;miRNA;94176013;94176033;+;MIMAT0004481_1;hsa-let-7a-3p;3p;MI0000060
chr11;miRNA;122146568;122146589;-;MIMAT0000062;hsa-let-7a-5p;5p;MI0000061
chr11;miRNA;122146523;122146544;-;MIMAT0010195;hsa-let-7a-2-3p;3p;MI0000061
chr22;miRNA;46112752;46112773;+;MIMAT0000062_1;hsa-let-7a-5p;5p;MI0000062
chr22;miRNA;46112800;46112820;+;MIMAT0004481;hsa-let-7a-3p;3p;MI0000062
chr22;miRNA;46113691;46113712;+;MIMAT0000063;hsa-let-7b-5p;5p;MI0000063
chr22;miRNA;46113745;46113766;+;MIMAT0004482;hsa-let-7b-3p;3p;MI0000063
chr21;miRNA;16539838;16539859;+;MIMAT0000064;hsa-let-7c-5p;5p;MI0000064
chr21;miRNA;16539883;16539904;+;MIMAT0026472;hsa-let-7c-3p;3p;MI0000064
chr9;miRNA;94178841;94178862;+;MIMAT0000065;hsa-let-7d-5p;5p;MI0000065
chr9;miRNA;94178895;94178916;+;MIMAT0004484;hsa-let-7d-3p;3p;MI0000065
chr19;miRNA;51692793;51692814;+;MIMAT0000066;hsa-let-7e-5p;5p;MI0000066
chr19;miRNA;51692838;51692859;+;MIMAT0004485;hsa-let-7e-3p;3p;MI0000066
chr9;miRNA;94176353;94176374;+;MIMAT0000067;hsa-let-7f-5p;5p;MI0000067
chr9;miRNA;94176409;94176430;+;MIMAT0004486;hsa-let-7f-1-3p;3p;MI0000067
chrX;miRNA;53557246;53557267;-;MIMAT0000067_1;hsa-let-7f-5p;5p;MI0000068
chrX;miRNA;53557196;53557217;-;MIMAT0004487;hsa-let-7f-2-3p;3p;MI0000068
chr13;miRNA;50049167;50049188;-;MIMAT0000068;hsa-miR-15a-5p;5p;MI0000069
chr13;miRNA;50049130;50049151;-;MIMAT0004488;hsa-miR-15a-3p;3p;MI0000069
chr13;miRNA;50049027;50049048;-;MIMAT0000069;hsa-miR-16-5p;5p;MI0000070
chr13;miRNA;50048985;50049006;-;MIMAT0004489;hsa-miR-16-1-3p;3p;MI0000070
chr13;miRNA;91350618;91350640;+;MIMAT0000070;hsa-miR-17-5p;5p;MI0000071
chr13;miRNA;91350655;91350676;+;MIMAT0000071;hsa-miR-17-3p;3p;MI0000071
chr13;miRNA;91350756;91350778;+;MIMAT0000072;hsa-miR-18a-5p;5p;MI0000072
chr13;miRNA;91350797;91350819;+;MIMAT0002891;hsa-miR-18a-3p;3p;MI0000072
chr13;miRNA;91350939;91350961;+;MIMAT0000073;hsa-miR-19a-3p;3p;MI0000073
chr13;miRNA;91350904;91350925;+;MIMAT0004490;hsa-miR-19a-5p;5p;MI0000073
chr13;miRNA;91351245;91351267;+;MIMAT0000074;hsa-miR-19b-3p;3p;MI0000074
chr13;miRNA;91351207;91351229;+;MIMAT0004491;hsa-miR-19b-1-5p;5p;MI0000074
chrX;miRNA;134169683;134169705;-;MIMAT0000074_1;hsa-miR-19b-3p;3p;MI0000075
chrX;miRNA;134169727;134169748;-;MIMAT0004492;hsa-miR-19b-2-5p;5p;MI0000075
chr13;miRNA;91351072;91351094;+;MIMAT0000075;hsa-miR-20a-5p;5p;MI0000076
chr13;miRNA;91351108;91351129;+;MIMAT0004493;hsa-miR-20a-3p;3p;MI0000076
chr17;miRNA;59841273;59841294;+;MIMAT0000076;hsa-miR-21-5p;5p;MI0000077
chr17;miRNA;59841311;59841331;+;MIMAT0004494;hsa-miR-21-3p;3p;MI0000077
chr17;miRNA;1713914;1713935;-;MIMAT0000077;hsa-miR-22-3p;3p;MI0000078
chr17;miRNA;1713952;1713973;-;MIMAT0004495;hsa-miR-22-5p;5p;MI0000078
chr19;miRNA;13836595;13836615;-;MIMAT0000078;hsa-miR-23a-3p;3p;MI0000079
chr19;miRNA;13836630;13836651;-;MIMAT0004496;hsa-miR-23a-5p;5p;MI0000079
chr9;miRNA;95086027;95086048;+;MIMAT0000079;hsa-miR-24-1-5p;5p;MI0000080
chr9;miRNA;95086064;95086085;+;MIMAT0000080_1;hsa-miR-24-3p;3p;MI0000080
chr19;miRNA;13836289;13836310;-;MIMAT0000080;hsa-miR-24-3p;3p;MI0000081
chr19;miRNA;13836326;13836347;-;MIMAT0004497;hsa-miR-24-2-5p;5p;MI0000081
chr7;miRNA;100093571;100093592;-;MIMAT0000081;hsa-miR-25-3p;3p;MI0000082
chr7;miRNA;100093610;100093630;-;MIMAT0004498;hsa-miR-25-5p;5p;MI0000082
chr3;miRNA;37969413;37969434;+;MIMAT0000082_1;hsa-miR-26a-5p;5p;MI0000083
