Chromosome;Type;Coord1;Coord2;Strand;ID;Name
chr9;miRNA_primary_transcript;94175957;94176036;+;MI0000060;hsa-let-7a-1
chr11;miRNA_primary_transcript;122146522;122146593;-;MI0000061;hsa-let-7a-2
chr22;miRNA_primary_transcript;46112749;46112822;+;MI0000062;hsa-let-7a-3
chr22;miRNA_primary_transcript;46113686;46113768;+;MI0000063;hsa-let-7b
chr21;miRNA_primary_transcript;16539828;16539911;+;MI0000064;hsa-let-7c
chr9;miRNA_primary_transcript;94178834;94178920;+;MI0000065;hsa-let-7d
chr19;miRNA_primary_transcript;51692786;51692864;+;MI0000066;hsa-let-7e
chr9;miRNA_primary_transcript;94176347;94176433;+;MI0000067;hsa-let-7f-1
chrX;miRNA_primary_transcript;53557192;53557274;-;MI0000068;hsa-let-7f-2
chr13;miRNA_primary_transcript;50049119;50049201;-;MI0000069;hsa-mir-15a
chr13;miRNA_primary_transcript;50048973;50049061;-;MI0000070;hsa-mir-16-1
chr13;miRNA_primary_transcript;91350605;91350688;+;MI0000071;hsa-mir-17
chr13;miRNA_primary_transcript;91350751;91350821;+;MI0000072;hsa-mir-18a
chr13;miRNA_primary_transcript;91350891;91350972;+;MI0000073;hsa-mir-19a
chr13;miRNA_primary_transcript;91351192;91351278;+;MI0000074;hsa-mir-19b-1
chrX;miRNA_primary_transcript;134169671;134169766;-;MI0000075;hsa-mir-19b-2
chr13;miRNA_primary_transcript;91351065;91351135;+;MI0000076;hsa-mir-20a
chr17;miRNA_primary_transcript;59841266;59841337;+;MI0000077;hsa-mir-21
chr17;miRNA_primary_transcript;1713903;1713987;-;MI0000078;hsa-mir-22
chr19;miRNA_primary_transcript;13836587;13836659;-;MI0000079;hsa-mir-23a
chr9;miRNA_primary_transcript;95086021;95086088;+;MI0000080;hsa-mir-24-1
chr19;miRNA_primary_transcript;13836287;13836359;-;MI0000081;hsa-mir-24-2
chr7;miRNA_primary_transcript;100093560;100093643;-;MI0000082;hsa-mir-25
chr3;miRNA_primary_transcript;37969404;37969480;+;MI0000083;hsa-mir-26a-1
chr2;miRNA_primary_transcript;218402646;218402722;+;MI0000084;hsa-mir-26b
chr19;miRNA_primary_transcript;13836440;13836517;-;MI0000085;hsa-mir-27a
chr3;miRNA_primary_transcript;188688781;188688866;+;MI0000086;hsa-mir-28
chr7;miRNA_primary_transcript;130876747;130876810;-;MI0000087;hsa-mir-29a
chr6;miRNA_primary_transcript;71403551;71403621;-;MI0000088;hsa-mir-30a
chr9;miRNA_primary_transcript;21512115;21512185;-;MI0000089;hsa-mir-31
chr9;miRNA_primary_transcript;109046229;109046298;-;MI0000090;hsa-mir-32
chr22;miRNA_primary_transcript;41900944;41901012;+;MI0000091;hsa-mir-33a
chr13;miRNA_primary_transcript;91351314;91351391;+;MI0000093;hsa-mir-92a-1
chrX;miRNA_primary_transcript;134169538;134169612;-;MI0000094;hsa-mir-92a-2
chr7;miRNA_primary_transcript;100093768;100093847;-;MI0000095;hsa-mir-93
chr4;miRNA_primary_transcript;8005301;8005381;-;MI0000097;hsa-mir-95
chr7;miRNA_primary_transcript;129774692;129774769;-;MI0000098;hsa-mir-96
chrX;miRNA_primary_transcript;53556223;53556341;-;MI0000100;hsa-mir-98
chr21;miRNA_primary_transcript;16539089;16539169;+;MI0000101;hsa-mir-99a
chr11;miRNA_primary_transcript;122152229;122152308;-;MI0000102;hsa-mir-100
chr1;miRNA_primary_transcript;65058434;65058508;-;MI0000103;hsa-mir-101-1
chr7;miRNA_primary_transcript;130877459;130877539;-;MI0000105;hsa-mir-29b-1
chr1;miRNA_primary_transcript;207802443;207802523;-;MI0000107;hsa-mir-29b-2
chr20;miRNA_primary_transcript;3917494;3917571;+;MI0000108;hsa-mir-103a-2
chr5;miRNA_primary_transcript;168560896;168560973;-;MI0000109;hsa-mir-103a-1
chrX;miRNA_primary_transcript;152392219;152392299;-;MI0000111;hsa-mir-105-1
chrX;miRNA_primary_transcript;152394412;152394492;-;MI0000112;hsa-mir-105-2
chrX;miRNA_primary_transcript;134170198;134170278;-;MI0000113;hsa-mir-106a
chr10;miRNA_primary_transcript;89592747;89592827;-;MI0000114;hsa-mir-107
chr3;miRNA_primary_transcript;160404745;160404825;+;MI0000115;hsa-mir-16-2
chr11;miRNA_primary_transcript;64891137;64891246;-;MI0000234;hsa-mir-192
chr17;miRNA_primary_transcript;48632490;48632559;-;MI0000238;hsa-mir-196a-1
chr1;miRNA_primary_transcript;109598893;109598967;+;MI0000239;hsa-mir-197
chr3;miRNA_primary_transcript;120395668;120395729;-;MI0000240;hsa-mir-198
chr19;miRNA_primary_transcript;10817426;10817496;-;MI0000242;hsa-mir-199a-1
chr14;miRNA_primary_transcript;23388596;23388666;-;MI0000251;hsa-mir-208a
